service_id,edge_id,service
0,46,A1
1,7,A1
2,8,A1
3,9,A1
4,10,A1
5,42,A1
6,0,A1
7,1,A1
8,2,A1
9,3,A1
10,4,A1
11,5,A1
12,47,A1
13,27,A2
14,20,A2
15,21,A2
16,22,A2
17,23,A2
18,24,A2
19,25,A2
20,44,A2
21,45,A2
22,15,A2
23,16,A2
24,17,A2
25,18,A2
26,48,A2
27,16,D1
28,17,D1
29,18,D1
30,19,D1
31,20,D1
32,21,D1
33,38,D1
34,29,D1
35,5,D1
36,6,D1
37,7,D1
38,8,D1
39,9,D1
40,0,D2
41,1,D2
42,2,D2
43,3,D2
44,43,D2
45,38,D2
46,39,D2
47,23,D2
48,24,D2
49,25,D2
50,44,D2
51,32,E
52,51,E
53,52,E
54,53,E
55,54,E
56,20,E
57,28,E
58,0,K
59,1,K
60,2,K
61,3,K
62,4,K
63,5,K
64,49,K
65,50,K
66,36,K
67,37,K
68,22,K
69,23,K
70,24,K
71,25,K
72,44,K
