node_id,name,lat,lon
0,PGP Terminal Bus Stop,1.29183,103.78043
1,PGP House 15 Bus Stop,1.29298,103.7779
2,TCOMS Bus Stop,1.29355,103.777
3,Opp HSSML Bus Stop,1.29294,103.7751
4,Opp NUSS Bus Stop,1.29325,103.7724
5,Ventus (Opp LT13) Bus Stop,1.29535,103.7706
6,Information Technology Bus Stop,1.2972,103.7727
7,Opp YIH Bus Stop,1.29889,103.7741
8,Museum Bus Stop,1.30116,103.7735
9,University Health Centre Bus Stop,1.29894,103.7761
10,Opp UHall Bus Stop,1.29756,103.7781
11,S17 Bus Stop,1.29753,103.7807
12,Opp Kent Ridge MRT Bus Stop,1.29498,103.7846
13,Kent Ridge MRT Bus Stop,1.2948,103.7844
14,LT27 Bus Stop,1.29735,103.781
15,UHall Bus Stop,1.29742,103.778
16,Opp University Health Centre Bus Stop,1.29874,103.7757
17,YIH Bus Stop,1.29885,103.7743
18,Central Library Bus Stop,1.29628,103.7723
19,LT13 Bus Stop,1.29483,103.7706
20,AS5 Bus Stop,1.29354,103.7718
21,COM2 Bus Stop,1.29425,103.7738
22,BIZ2 Bus Stop,1.29322,103.7751
23,Opp TCOMS Bus Stop,1.29371,103.777
24,PGP House 7 Bus Stop,1.2931,103.7781
25,University Town Bus Stop,1.30355,103.7744
26,PGP Residence Bus Stop,1.29096,103.7811
27,Kent Ridge Bus Terminal Bus Stop,1.29427,103.7697
28,Raffles Hall Bus Stop,1.30096,103.7728
29,EA Bus Stop,1.30061,103.7702
30,Japanese Primary School Bus Stop,1.30076,103.7699
31,Kent Vale Bus Stop,1.30182,103.7696
32,SDE3 Bus Stop,1.2978,103.76992
33,Opp SDE3 Bus Stop,1.29784,103.7696
100,Kent Ridge MRT Entrance,1.294311,103.7846
101,NUH Main Building Lobby A,1.295248,103.7827
102,NUH Main Building Lobby B,1.294422,103.784
103,NUH Medical Centre,1.293408,103.7846
104,Centre for Oral Health (NUCOHS),1.2956,103.7834
105,NUCOHS Roundabout,1.295437,103.7842
106,Dentistry Roundabout,1.296865,103.7829
107,Dentistry Carpark (CP9),1.297036,103.7816
108,Faculty of Dentistry,1.296844,103.7819
